taxa, Yield_MI18 , Yield_MI19 , Yield_NE18 , Yield_NE19 , SW_MI18 , SW_MI19 , SW_NE18 , SW_NE19 , FeBio_MI18 , FeBio_MI19 , Fe_MI18 , Fe_MI19 , Fe_NE18 , Fe_NE19 , Zn_MI18 , Zn_MI19 , Zn_NE18 , Zn_NE19 ,Chr07pos29169848,CT_MI,CT_NE,Seed_type,Country,ID,STRUCTURE,Genepool
YBC214,"1,238.10","1,223.10",832.8, NA ,35.8,40.5,35.6, NA ,93,89,64,51.9,28.9, NA ,30.8,24.2,25.1, NA ,GG,NA,NA,Mayocoba,United States,NE-17-7,Andean,Andean
YBC215,"1,753.20","1,801.50","2,621.00",323.8,35.2,39.2,36.4,29.1,105,110,52.5,59.9,30.6,38.8,27.3,24.7,24,23,GG,NA,NA,Mayocoba,United States,LPID-35,Andean,Andean
YBC216,"1,656.80","1,162.40","2,616.40",354.2,36.8,37.8,35.3,29.9,106.5,104,57.1,58.7,29.1,47.7,26.7,24.5,20.3,24.4,GG,NA,NA,Mayocoba,United States,LPID-36,Andean,Andean
YBC217,"1,586.40","1,166.20","1,484.60",381.8,49.4,53.7,52.2,32.4,73,69.5,64.6,53.1,54.1,49.3,24,29.1,24.4,27.8,TT,NA,NA,Mayocoba,Colombia,MAN    4,Andean,Andean
YBC218, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC219, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC220, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
YBC221,"3,118.80","1,542.20","1,255.30",587.3,28.9,27.4,24.3,27.7,80.5,74,69,80,43.9,55.1,29.3,30.9,28.9,31.1,GG,NA,NA,Mayocoba,Colombia,CAN   15,Admix,Admixture
YBC222,"1,698.20","1,450.60","1,493.10",827,28.7,30.7,27.9,28.7,111.5,103,74.6,70.8,43.6,50.4,39.1,34.5,27,27,GG,NA,NA,Mayocoba,Colombia,CAN   24,Mesoamerica,Middle American
YBC223,"2,595.80","1,009.10","2,279.90",763.8,35.5,37,27.2,28.1,78.5,69.5,59.2,66.7,51.5,42.7,29.7,32.9,30.3,30.6,GG,NA,NA,Mayocoba,Colombia,CAN   29,Admix,Admixture
YBC224,"2,035.90",822.6,"1,474.00",461,38,39.5,26.9,29.2,111,111.5,66,62.6,49.6,36.3,26.3,26.2,26.4,22.3,GG,NA,NA,Mayocoba,Colombia,CAN   32,Andean,Andean
YBC225,"1,396.80","1,016.80","1,570.60",369,41.1,45.6,35.9,29.7,82.5,75,67.3,59.8,45.6,43.7,28,26.3,24.1,23.9,TT,NA,NA,Canary,Colombia,CAN   33,Andean,Andean
YBC226,"2,056.40","1,384.00","1,759.10",520.6,38.1,42.9,37.2,30.6,68.5,63,50.9,59.6,31.6,48.2,28.8,27.9,19.5,28.6,TT,NA,NA,Canary,Colombia,CAN   34,Andean,Andean
YBC227,"2,094.40","1,289.30","1,697.60",446.7,34.8,34.9,32.3,28.3,75,83,69.9,70.4,40,52.7,32,30,28,29.1,GG,NA,NA,Mayocoba,Colombia,CAN   35,Andean,Andean
YBC228,"2,062.40","1,838.00", NA , NA ,47.6,42, NA , NA ,87.5,100.5,69.4,72.9, NA , NA ,31.6,31.3, NA , NA ,GG,NA,NA,Mayocoba,Colombia,CAN   37,Andean,Andean
YBC229,"1,829.40",870.3,904, NA ,29.9,31.1,28.9, NA ,24.5,30.5,74.6,68.1,62.1, NA ,33.7,27.6,27.2, NA ,TT,NA,NA,Canary,Colombia,CAN   39,Admix,Admixture
